1780910908590|ns=1;s=Sensor_1389|61.0
1780910908638|ns=3;s=Sensor_1808|24.036716
1780910908689|ns=1;s=Sensor_1305|11.0
1780910908738|ns=1;s=Sensor_468|2.8173387
1780910908788|ns=1;s=Sensor_1476|97.76916
1780910908838|ns=3;s=Sensor_1970|41.969032
1780910908889|ns=3;s=Sensor_1271|43.0
1780910908938|ns=1;s=Sensor_915|0.0
1780910908989|ns=2;s=Sensor_685|43.0
1780910909039|ns=3;s=Sensor_362|72.65066
1780910909089|ns=1;s=Sensor_1710|10.11591
1780910909138|ns=2;s=Sensor_1477|70.0
1780910909188|ns=2;s=Sensor_1015|30.0
1780910909238|ns=1;s=Sensor_390|36.392265
1780910909288|ns=1;s=Sensor_933|59.0
1780910909338|ns=1;s=Sensor_828|41.215378
1780910909388|ns=3;s=Sensor_239|92.0
1780910909438|ns=3;s=Sensor_458|5.4514465
1780910909488|ns=3;s=Sensor_1748|54.774963
1780910909538|ns=1;s=Sensor_729|4.0
1780910909588|ns=1;s=Sensor_42|45.32918
1780910909590|ns=3;s=Sensor_50|999
1780910909639|ns=3;s=Sensor_761|34.0
1780910909688|ns=3;s=Sensor_1541|36.0
1780910909738|ns=1;s=Sensor_114|15.672994
1780910909788|ns=3;s=Sensor_1736|77.42878
1780910909838|ns=3;s=Sensor_1226|62.927746
1780910909888|ns=3;s=Sensor_1958|98.15832
1780910909939|ns=3;s=Sensor_431|33.0
1780910909989|ns=1;s=Sensor_1041|6.0
1780910910038|ns=2;s=Sensor_643|42.0
1780910910088|ns=3;s=Sensor_596|37.865917
1780910910138|ns=2;s=Sensor_1768|59.828835
1780910910188|ns=3;s=Sensor_1244|2.56837
1780910910238|ns=1;s=Sensor_1473|45.0
1780910910288|ns=3;s=Sensor_560|41.499413
1780910910339|ns=2;s=Sensor_1816|93.80521
1780910910388|ns=2;s=Sensor_1282|67.48059
1780910910438|ns=3;s=Sensor_1886|77.1363
1780910910488|ns=1;s=Sensor_1086|5.3997936
1780910910539|ns=1;s=Sensor_861|15.0
1780910910589|ns=1;s=Sensor_831|70.0
1780910910638|ns=1;s=Sensor_297|16.0
1780910910688|ns=1;s=Sensor_1905|96.0
1780910910738|ns=1;s=Sensor_645|28.0
1780910910789|ns=3;s=Sensor_17|90.0
1780910910839|ns=2;s=Sensor_913|79.0
1780910910889|ns=3;s=Sensor_1808|54.888542
1780910910938|ns=1;s=Sensor_33|45.0
1780910910988|ns=3;s=Sensor_758|53.56189
1780910911038|ns=2;s=Sensor_697|52.0
1780910911089|ns=2;s=Sensor_340|26.122564
1780910911138|ns=3;s=Sensor_197|40.0
1780910911188|ns=1;s=Sensor_162|36.845833
1780910911238|ns=3;s=Sensor_1301|53.0
1780910911288|ns=2;s=Sensor_343|57.0
1780910911338|ns=3;s=Sensor_1814|44.04262
1780910911388|ns=3;s=Sensor_1670|43.977337
1780910911439|ns=1;s=Sensor_1563|56.0
1780910911489|ns=1;s=Sensor_165|81.0
1780910911538|ns=2;s=Sensor_10|9.538544
1780910911588|ns=3;s=Sensor_74|92.74876
1780910911638|ns=2;s=Sensor_595|3.0
1780910911688|ns=1;s=Sensor_1134|94.442406
1780910911739|ns=3;s=Sensor_107|23.0
1780910911788|ns=2;s=Sensor_1651|87.0
1780910911838|ns=2;s=Sensor_535|78.0
1780910911888|ns=3;s=Sensor_1586|49.205643
1780910911938|ns=3;s=Sensor_500|84.90324
1780910911988|ns=2;s=Sensor_1852|47.74301
1780910912039|ns=1;s=Sensor_1491|38.0
1780910912089|ns=2;s=Sensor_1843|36.0
1780910912139|ns=2;s=Sensor_1825|43.0
1780910912189|ns=3;s=Sensor_833|42.0
1780910912238|ns=3;s=Sensor_1301|49.0
1780910912288|ns=3;s=Sensor_1958|44.00142
1780910912339|ns=1;s=Sensor_963|67.0
1780910912388|ns=3;s=Sensor_767|83.0
1780910912439|ns=3;s=Sensor_1997|49.0
1780910912488|ns=2;s=Sensor_817|81.0
1780910912538|ns=2;s=Sensor_1273|29.0
1780910912588|ns=2;s=Sensor_1030|88.13277
1780910912638|ns=1;s=Sensor_702|62.711353
1780910912688|ns=3;s=Sensor_206|1.3910532
1780910912738|ns=2;s=Sensor_1144|45.304646
1780910912788|ns=3;s=Sensor_758|13.955027
1780910912838|ns=1;s=Sensor_507|23.0
1780910912888|ns=1;s=Sensor_198|6.2141714
1780910912938|ns=2;s=Sensor_580|79.24264
1780910912988|ns=2;s=Sensor_1396|87.89629
1780910913038|ns=1;s=Sensor_1146|94.780266
1780910913088|ns=2;s=Sensor_1879|37.0
1780910913138|ns=1;s=Sensor_516|30.539715
1780910913188|ns=2;s=Sensor_1174|48.23286
1780910913238|ns=2;s=Sensor_1300|12.8857975
1780910913288|ns=2;s=Sensor_1822|32.253147
1780910913339|ns=1;s=Sensor_129|57.0
1780910913389|ns=2;s=Sensor_1186|68.09892
1780910913438|ns=1;s=Sensor_834|18.313807
1780910913488|ns=3;s=Sensor_1949|18.0
1780910913538|ns=2;s=Sensor_1750|14.009601
1780910913588|ns=2;s=Sensor_1603|61.0
1780910913639|ns=1;s=Sensor_81|88.0
1780910913688|ns=3;s=Sensor_1061|99.0
1780910913738|ns=3;s=Sensor_1505|32.0
1780910913788|ns=3;s=Sensor_1124|67.076965
1780910913839|ns=1;s=Sensor_1695|34.0
1780910913888|ns=1;s=Sensor_525|8.0
1780910913938|ns=1;s=Sensor_480|87.34049
1780910913988|ns=3;s=Sensor_386|69.70148
1780910914038|ns=2;s=Sensor_1867|81.0
1780910914088|ns=2;s=Sensor_1945|25.0
1780910914138|ns=1;s=Sensor_405|78.0
1780910914187|ns=3;s=Sensor_749|19.0
1780910914238|ns=1;s=Sensor_1128|81.18143
1780910914289|ns=2;s=Sensor_898|7.991415
